review,sentiment
"One of the other critics mentioned that after watching just one episode of Oz, you'll be addicted. They're right, because that's exactly what happened with me.<br /><br />The first thing that hit me about Oz was his brutality and endless scenes of violence, which got to the right of the word GO. Believe me, it's not a show for weak or shy hearts. This show doesn't punch at anything about drugs, sex or violence. the nickname given to the penitentiary of the maximum security state of Oswald. It focuses mainly on the city of Emerald, an experimental section of the prison where all the cells have glass fronts and face to the inside, so that privacy is not at the top of the agenda. Em City is the home of many...Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more... if schuffles, eyes of death, dodgy transactions and shady chords are never far away.<br /><br />I would say that the main call of the show is due to the fact that it goes where Other shows would not dare. Forget about pretty pictures painted for the general public, forget the charm, forget the romance... OZ doesn't make any noise. The first episode I've ever seen hit me as so mean it was surreal, I couldn't say I was ready for it, but as I looked more, I developed a taste for Oz, and I got used to the high levels of graphic violence. prisoners being turned into prison sluts because of their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing ... it is if you can get in touch with your darker side.",positive
"A wonderful little production. <br /><br />The filming technique is very unlikely- very ancient- BBC mode and gives a comforting and sometimes embarrassing sense of realism to the entire room. <br /><br />The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down too! You can really see the transparent edition guided by references to Williams' journal entries, not only is it well worth looking at, but it is a wonderful writing and A masterful production about one of the great masters of comedy and his life. <br /><br />Realism really comes home with the little things: the fantasy of the guard which, rather than using the traditional techniques of ""dream"" remains solid, then disappears. It plays on our knowledge and our senses, especially with the scenes concerning Orton and Halliwell and the scenery (especially of their apartment with the wall paintings of Halliwell decorating each surface) are terribly well made.",positive
"I thought it was a wonderful way to spend time on a hot summer weekend, sitting in the air-conditioned theater and watching a comedy with a light heart. The plot is simplistic, but the dialogue is spiritual and the characters are friendly (even the good bread suspected serial killer). Although some may be disappointed when they realize that it's not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style that many of us grew up to love.<br /><br />It was the Although I was never impressed by Scarlet Johanson, in this she managed to tone her ""sex"" image and jumped straight into an average, but animated young woman.<br /><br />This may not be the jewel of the crown of her career, but he was more spiritual than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.",positive
"Basically, there is a family where a little boy (Jake) thinks there's a zombie in his closet and his parents fight all the time.<br /><br />This movie is slower than a soap-opera... and suddenly Jake decides to become Rambo and kill the zombie.<br /><br />OK, first when you're going to make a movie, you have to decide if it's a thriller or a drama! As a drama the movie is observable. Parents divorce and argue as in real life. I expected to see a similar movie from BOOGEYMAN, and instead I watched a drama with meaningless thriller spots.<br /><br />3 out of 10 just for parents and well played downhill dialogues. As for the photos with Jake: just ignore them.",negative
"Mattei offers us a vivid portrait of human relations. It's a film that seems to tell us what money, power and success do to people in the different situations we encounter. <br /><br />It's a variation on Arthur Schnitzler's play on the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. We are led to see how these people live and the world they live in their own habitat.<br /><br /> The only thing we get from all these souls in the image is the different stages of the solitude that each one lives. A big city is not exactly the best place where human relations find a sincere fulfillment, as we discern it with most people. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented casting bring these characters back to life. <br /><br />We wish Mr. Mattei good luck and look forward to his next work.",positive
"Probably my favorite film of all time, a story of self-denial, sacrifice and dedication to a noble cause, but it's not preaching or boring. It never ages, despite having seen it fifteen times or more in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of his few truly friendly roles, is a pleasure. What is happening in the world and under its own roof is credible and surprising. If I had a dozen inches, they would all be ready for this film.",positive
"I would like to see the resurrection of a series of Seahunts with the technology they have today, which would bring back the excitement of the children into me.I grew up on black and white television and Seahunt with Gunsmoke were my heroes every week.You have my vote for a return of a new hunt to the sea.We need a change of pace in television and it would work for a world of underwater adventure.Oh thank you for a point of view like this one on television and the many movies. It would be nice to read more about sea hunting.If my rhymes were 10 lines, would you let me submit, or would you leave me in doubt and ask me to give up, if that is the case, then I have to go do it.",positive
"This show was an amazing, fresh and innovative idea in the 1970s when it was first broadcast. The first 7 or 8 years were brilliant, but things fell after that. In 1990, the show was no longer really funny, and it continued its decline further in the complete waste of time it is today.<br /><br />It's really shameful until this show fell. The writing is painfully bad, the performances are almost as bad - if not for the slightly entertaining respite of the guest-guests, this show would probably not be a good idea. I find it so hard to believe that the same creator who chose by hand the original casting also chose the band of hacks that followed. How can one recognize such a shine and then see to replace it with such a mediocrity? I felt that I had to give 2 stars out of respect for the original casting that made this show so great a success. As it is now, the show is just horrible. I can't believe it's still on the air.",negative
"Encouraged by the positive comments on this film here, I was looking forward to watching this film. Bad mistake. I saw 950+ movies and it's really one of the worst of them - it's terrible in almost all respects: editing, pacing, storyline, 'action,' soundtrack (the only song in the film - a lame piece of country - is played no less than four times). The film seems cheap and mean and is boring to the extreme. Rarely have I been so happy to see the credits of ending a film. <br /><br />The only thing that prevents it from happening here. It's Harvey Keitel - while it's far from his best performance, he seems to make at least a little effort. One for Keitel only obsessive.",negative
"If you like original intestinal laughter, you will like this movie. If you are young or old, then you will love this movie, hell even my mother loved it.<br /><br />Grand Camp!!!",positive
"Phil the Alien is one of those weird movies where humor is based around the strangeness of everything rather than real punch lines.<br /><br />At first, it was very strange and quite funny but as the film progressed, I no longer found the jokes or strangeness funny.<br /><br />It's a low-budget film (which is never a problem in itself), there were quite interesting characters, but I ended up losing interest.<br /><br />I imagine this film would appeal to a star who is currently participating.<br /><br />For something similar but better try ""Bother of another planet""",negative
"I saw this film when I was about 12 years old when it came out. I remember the most frightening scene was the big bird eating men bathing powerless parachutes in the air. Horror. Horror.<br /><br />As a young child going to these B cheese movies Saturday afternoon, I was still tired of the formula for these monster-like movies that usually included the hero, a beautiful woman who could be the daughter of a teacher and a happy resolution when the monster died in the end. I love them now for involuntary humor.<br /><br />But, about a year later, I saw Psycho when he came out and I loved that the star, Janet Leigh, was hit early in the movie. I sat down and took note at that time. Since the writers invent the story, do it to be as scary as possible and not a well-written formula. There are no rules.",negative
"I enjoyed his postal film (perhaps just like it). Boll apparently bought the rights to use Far Cry a long time ago, even before the game itself was even over. <br /><br />People who liked to kill merc and infiltrate secret research laboratories located on a tropical island should be warned, that it's not Far Cry... This is something that Mr. Boll screened together with his legion of schmucks.. Feeling lonely on the tray Mr. Boll invites Three of his compatriots to play with. These players go by the names of Til Schweiger, Udo Kier and Ralf Moeller.<br /><br /> Three names that really made them quite big selfs in the movie biz. So the story goes like this, Jack Carver played by Til Schweiger (yes Carver is German all greet the bratwurst eat the guys!!) However, I find that Tils playing in this movie is pretty badass.. We see the bad scientist Dr. Krieger played by Udo Kier, making genetically mutated soldiers or GMS as they are called. Carry out his top secret research on an island that reminds me of ""SPOILER"" Vancouver for some reason. It's just no palm trees here. Instead, we got some nice rich lumberwood. We didn't even go FAR before I I started at CRY (mehehe) I can't go any further.. If you want to stay faithful to Bolls Shenanigans then go and see this film you won't be disappointed that it delivers the real experience of Boll, which means that most of it will suck.<br /><br />There are things that deserve to be mentioned that would imply that Boll did a good job on certain areas of the film such as some beautiful boats and fighting scenes. Until the whole team of GMS cromed/albino enters the scene and makes me laugh.. The film Far Cry reeks de scheisse (it's poop for you the simple) of a fa,r if you want to take a wiff go ahead.. BTW Carver gets a very boring sidekick that makes you want to shoot him the first three minutes that he is on screen.",negative
"The cast played Shakespeare.<br /><br />Shakespeare lost.<br /><br />I understand that it's trying to bring Shakespeare to the masses, but why ruin something so good.<br /><br />Is it because 'The Scottish Play' is my favorite Shakespeare? I don't know. What I know is that a certain Rev Bowdler (hence bowllerization) tried to do something similar in Victorian times.<br /><br /><br />In other words, you can't improve perfection.<br /><br />I don't have to write anymore but as I have to write at least ten lines of text (and the English composition was never my strong I'll just have to go on and say that this film, as the saying says, does not cut it.",negative
It is a fantastic film of three prisoners that become famous. One of the actors is George clooney and I am not a fan but this roll is not bad. Another good thing about the film is the soundtrack (The man of constant pain). I recommend this film to everyone.,positive
"A little attracted to erotic scenes, only to realize that it was one of the most amateur and incredible pieces of film I've ever seen. A little like a high school movie project. What did Rosanna Arquette think?? And what was with all these stock characters in this weird city supposed Midwest? Rather difficult to get involved with this one. No lessons to learn from him, no brilliant ideas, just stubborn and ridiculous enough (but a lot of skin, if that intrigues you) video nonsense... The bisexual relationship, out of nowhere, after all heterosexual encounters. And what was with this absurd dance, with everyone playing their stereotypical roles? Give this one a pass, it's like a million other miles of bad film, wasted, money that could have been spent on hungry children or AIDS in Africa...",negative
"Some movies simply shouldn't be redone. It's one of them. In itself it's not a bad film. But it can't capture the flavor and terror of the 1963 film of the same title. Liam Neeson was excellent as it is always, and most of the casting stands up, with the exception of Owen Wilson, who didn't bring the right sensation to Luke's character. But the main fault of this version is that he got too far from Shirley Jackson's story in his attempts to be grand and lost a part of it. the thrill of the previous film in an exchange for snazzier special effects. Again, I will say that in itself it is not a bad film. But you will appreciate the friction of terror in the old version much more.",positive
"This film became one of my 10 most horrible films. Horrible. <br /><br />There was not a continuous minute where there was no fight with one monster or another. There was no chance for a character development, they were too busy running from one sword fight to another. I had no emotional attachment (except for the great bad machine that wanted to destroy them) <br /><br />The scenes were openly stolen from other films, LOTR, Star Wars and Matrix. <br /><br />Examples<br /><br />>The ghost scene at the end of the film was the same as the one I had ever seen before. The end was stolen from the final scene of the old Star Wars with Yoda, Obee One and Vader. <br /><br />>The spider machine at first was exactly like Frodo being attacked by the spider in the Return of the Kings. (Elijah Wood is the victim in both films) and wait ......he hypnotizes his victim and wraps them.....uh hello??<br /><br />>And the whole theme of the machine against humans was the Matrix..or Terminator....<br />There are other examples but why waste time? And someone will tell me he The movie couldn't decide if it was a children's movie or an adult movie and wasn't much of either. <br /><br />Just horrible. A real disappointment to say the least. Save your money.",negative
"I remember this film, it was the first film I had watched in the cinema the picture was dark in places where I was very nervous it was back in 74/75 my father took me my brother & sister to the Newbury cinema in Newbury Berkshire England. I remember the tigers and lots of snow in the movie also the appearance of actor Grizzly Adams Dan Haggery I think one of the tigers gets shot and dies. If anyone knows where to find it on DVD etc. please let me know. The cinema has now been shot in a fitness club that is a very good one. The great shame, because the closest cinema is now 20 miles away, would like to hear others who have seen this film or any other like it.",positive
"A horrible film! It had to be against a few real stinks to be nominated for the Golden Globe. They took the story of the first famous Renaissance painter and massacred him beyond recognition. My complaint is not that they took liberties with the facts; if the story was good, it would be perfectly good. But it's just weird -- by all the stories the true story of this artist would have made for a much better film, so why did they find this script in dough? There are not enough naked people in the factual version. It is precipitated in the end with a summary of the artist's life -- we could have saved ourselves a few hours if they had favored the rest of the film with the same brevity.",negative
"After the success of Die Hard and his sequels, it's not surprising that in the 1990s a host of films ""Die Hard on a ....."" cashed on the wrong guy, bad place, bad concept of time. That's what they did with Cliffhanger, Die Hard on a mountain just in time to save Sly's career 'Stop or My Mom Will Shoot' Stallone.<br /><br />Cliffhanger is a great dream of nit-pickers, especially to those who are experts in mountain climbing, base-jumping, aviation, facial expressions, actor skills. But if you forget all the absurdities, it is in fact a very pleasant and undeniably entertaining trail that delivers like many strong sensations, and unwittingly, a lot of laughs.<br /><br />You must love John Lithgows sparkling malness, his tick every bunch of boxes of junk, and above all, the constantly harassed and merciless agent, Rex Linn like Travers.<br /><br />He can of Henry in ""Portrait of a Serial Killer"" but Michael Rooker is remarkable for a performance worthy of a horsehair like Hal, he constantly insists on shouting in the painful unbelief to his captors ""that man never hurts anyone"" And although he certainly can't be, it really seems that the character Frank of Ralph Waite smiles that the girl darks at his death.<br /><br />Mention also has to go to the former actor of ""London Burning"" Craig Fairbrass as the British villain, who comes a cropper while using Hal as a human football player, Yes, you can't help enjoy this little, Hal needed a good kick.<br /><br /> So forget your best judgment, which cares if 'this could never happen', lower your active expectations, raise the volume and enjoy! And if you're looking for Qaulen, he's the one carrying the helicopter.",positive
"I had the terrible misfortune of having to see this ""b-movie"" in its entirety.<br /><br />All I have to say is-- save your time and your money!!! This must be the worst b-movie of all time, it should not even be called a b-movie, more like a f-movie! Because it fails in all aspects that make a good film: the story is not at all interesting, all the actors are paper-end and not at all credible, it has a bad direction and the sequences of action are so false it's almost funny.......almost.<br /><br The film is just full of a rotten liner that no respectable person could find fun in the slightest bit.<br /><br />This film is supposed to be oriented towards men, but all the women in it are so unattractive, especially that this old ridiculed thing that comes to the end. They try to appear sexy in these strange and horrible costumes and they fail lamentably!!!<br /><br />Even some of the most ridiculous b-movies will still give you some laughs, but it's just too painful for Look!",negative
"What an absolutely beautiful film, if you have 2.5 hours to kill, watch, you won't regret it, it's too fun! Rajnikanth carries the film on his shoulders and although there is nothing but him, I have always loved him. A.R. Rehman's music takes time to grow up on you but after you've heard it a few times, you really start to love it.",positive
"First of all, let's take a few things directly here: a) I AM a fan of anime- has always been in fact (I have always watched Speed Racer all the time in kindergarten). b) I AM like several B-Movies because they are hilarious. c) I love Godzilla's movies. <br /><br />Move, when the film arrives first, it seems that it will be your usual B-movie, up to the shitty FX, but all of a sudden- BOOM! the anime comes! It's when the movie comes down WWWAAAAYYYYYYY.<br /><br />Animation It's VERY bad and cheap, even worse than what I remember from SPEED RACER, for criesakes! In fact, it's so cheap, one of the few scenes in the movie that I ""lively"" remember is when a group of children run away from a school... and it's the same kids more and more! FX are terrible, too; dinosaurs seem worse than Godzilla. Besides, the transition to live action to animation is unorganized, the dialogue & voice (especially the English dub I saw) was horrible and I begged my father to release the tape. The only thing that allowed me to survive was to make jokes and comments like robots & Joel/Mike on MST3K (you choose the season). Honestly, this is the only way to barely enjoy this film and survive it at the same time.<br /><br />Heck, I intend to show it to another friend otaku on Halloween for a B-Movie night. Because it's stupid, rather painful to watch and unintentionally hilarious at the same time, I give this film a 3/10, an improvement on 0.5/10 I (According to my ranking scale: 3/10 means roughly both boring and bad. As fun as counting up to three unless you find a way to make fun of it, then it will become as fun as counting up to 15.)",negative
It was the worst film I saw at WorldFest and it also received the least applause after! I can only think that it receives such recognition based on the amount of actors known in the film. It's great to see J.Beals but she's only in the film for a few minutes. Mr.Parker is a much better actress than the allowed part. The rest of the actor is difficult to judge because the film is so ridiculous and predictable. The main character is totally non-sympathetic and therefore boring to watch. A film that revolves around an actor who can't get a job doesn't seem very original to me. Neither the development of the cop. It feels like one of the many hetero-video films I saw in the 1990s ... And not even a good one in these standards.<br /><br />,negative
"Karen Carpenter's story shows a little more about the complex life of singer Karen Carpenter. Although she doesn't give exact facts, and details.<br /><br />Cynthia Gibb (Karen portrait) was not a beautiful election. She is a good actress, but plays a kind of very naive and stupid Karen Carpenter. I think the role needs a stronger character. Someone with a stronger personality.<br /><br />Louise Fletcher role like Agnes Carpenter is great, she does an excellent job like Karen's mother.<br /><br />He has great songs, which could have been included in a soundtrack album. Unfortunately, they were not, although this film was at the top of the score in the United States and other countries",positive
